Ano,Trimestre,Arquivo,Receita,EBITDA,Lucro_liquido,Lucro_bruto,Margem_EBITDA,Margem_liquida,Despesas,Divida_liquida,Investimento_capital,Receita_perdida,ROE,ROA,Fluxo_Caixa_Operacional,Fluxo_Caixa_Livre,Fluxo_Caixa_Investimento,Fluxo_Caixa_Financiamento,Divida_Bruta,Divida_Curto_Prazo,Divida_Longo_Prazo,DividendosProducao,Capacidade,Falha_maquina,Horas_paradas,Unidades_perdidas,Energia_consumida_kwh,Tipo_evento,Descricao_falha,Responsavel,Linha_producao,Custo_manutencao,Receita_impactada,Perda_eficiencia,Capacidade_utilizada
2018,2T,2018\textos\2018_2T_RR.txt,3.798 milhões R$,743 milhões R$,Não informado,Não informado,19.6%,Não informado,Custo vendas consolidado: 3.138 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2018,2T,2018\textos\2018_2T_RR.txt,2.133 milhões R$,386 milhões R$,Não informado,Não informado,18.1%,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,2.317 milhões R$,15.759 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2018,2T,2018\textos\2018_2T_RR.txt,Não informado,Não informado,698 milhões R$,Não informado,Não informado,Não informado,387 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,453 milhões R$,Não informado,286 milhões R$,-734 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2018,3T,2018\textos\2018_3T_RR.txt,12.836 milhões R$,2.013 milhões R$,998 milhões R$,Não informado,15.7%,7.8%,418 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,3.5 bilhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2018,3T,2018\textos\2018_3T_RR.txt,Não informado,2.013 milhões R$,791 milhões R$,Não informado,15.7%,Não informado,418 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2018,3T,2018\textos\2018_3T_RR.txt,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,14.718 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,405 milhões R$,Não informado,Não informado,18.193 milhões R$,2.178 milhões R$,16.015 milhões R$,Não informado,Hidrelétricas Goiás: 155 MW; Unidade Índia: 250 mil toneladas de aço bruto; 300 mil toneladas de aço laminado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2018,3T,2018\textos\2018_3T_RR.txt,4.390 milhões R$,891 milhões R$,Não informado,Não informado,20.3%,Não informado,3.602 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,62 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2018,3T,2018\textos\2018_3T_RR.txt,12.836 milhões R$,Não informado,791 milhões R$,Não informado,Não informado,6.2%,"Despesas_vendas: 141 milhões R$, Despesas_GeAdm: 277 milhões R$, Outras_despesas_op: 56 milhões R$",Não informado,Não informado,Não informado,Não informado,Não informado,791 milhões R$,Não informado,Não informado,Não informado,Não informado,2.178 milhões R$,15.977 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2018,4T,2018\textos\2018_4T_RR.txt,Não informado,1.400 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,4.900 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,2.000 milhões R$,Não informado,Não informado,14.900 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2018,4T,2018\textos\2018_4T_RR.txt,10.900 milhões R$,1.404 milhões R$,438 milhões R$,Não informado,12.9%,4.0%,393 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,170 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2018,Não informado,2018\textos\2018_4T_RR.txt,Não informado,Não informado,2.326 milhões R$,Não informado,Não informado,Não informado,Não informado,11.582 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,14.907 milhões R$,1.825 milhões R$,13.082 milhões R$,765 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2018,Não informado,2018\textos\2018_4T_RR.txt,46.159 milhões R$,6.657 milhões R$,Não informado,Não informado,14.4%,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,2.038 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2018,4T,2018\textos\2018_4T_RR.txt,3.946 milhões R$,647 milhões R$,Não informado,Não informado,16.4%,Não informado,3.374 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,1.028 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2018,4T,2018\textos\2018_4T_RR.txt,4.335 milhões R$,437 milhões R$,Não informado,Não informado,10.1%,Não informado,3.915 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2018,Não informado,2018\textos\2018_4T_RR.txt,46.159 milhões R$,Não informado,2.326 milhões R$,Não informado,Não informado,5.0%,1.923 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,13.368 milhões R$,1.822 milhões R$,11.546 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2018,4T,2018\textos\2018_4T_RR.txt,Não informado,Não informado,2.326 milhões R$,Não informado,Não informado,Não informado,1.892 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,1.999 milhões R$,Não informado,2.383 milhões R$,-4.256 milhões R$,Não informado,Não informado,Não informado,599 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2018,1T,2018\textos\2018_1T_AP.txt,10.400 milhões R$,1.500 milhões R$,451 milhões R$,Não informado,14.4%,4.3%,416 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,65 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2018,2T,2018\textos\2018_2T_AP.txt,12.000 milhões R$,1.800 milhões R$,746 milhões R$,Não informado,15.0%,6.2%,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,86 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2018,3T,2018\textos\2018_3T_AP.txt,12.800 milhões R$,2.013 milhões R$,1.000 milhões R$,Não informado,15.7%,7.8%,"Menor nível histórico de despesas com vendas, gerais e administrativas",Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,1.028 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Elevado uso da capacidade instalada na América do Norte,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2018,4T,2018\textos\2018_4T_AP.txt,Não informado,6.700 milhões R$,2.500 milhões R$,Não informado,15.7%,Não informado,"SG&A/Receita líquida: 3,6%","1,7x EBITDA",Não informado,Não informado,Não informado,Não informado,Não informado,2.600 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2018,4T,2018\textos\2018_4T_AP.txt,Não informado,1.404 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,12.200 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,1.404 milhões R$,348 milhões R$,Não informado,16.500 milhões R$,Não informado,Não informado,Política de dividendos: 30% do lucro líquido ajustado,Expansão de capacidade adicional (2019-2021): 3.254 mil toneladas,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2019,1T,2019\textos\2019_1T_RR.txt,Não informado,1.600 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,"1,8x EBITDA ajustado",Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,"119 milhões R$ (R$ 0,07 por ação)",Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2019,1T,2019\textos\2019_1T_RR.txt,10.026 milhões R$,1.552 milhões R$,Não informado,Não informado,15.5%,Não informado,"368 milhões R$ (Despesas vendas, gerais e administrativas)",Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,"119 milhões R$ (R$ 0,07 por ação)",Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2019,1T,2019\textos\2019_1T_RR.txt,Não informado,1.552 milhões R$,453 milhões R$,Não informado,Não informado,Não informado,Não informado,12.461 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,-166 milhões R$,Não informado,Não informado,14.993 milhões R$,2.939 milhões R$,12.054 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2019,1T,2019\textos\2019_1T_RR.txt,3.849 milhões R$,674 milhões R$,Não informado,Não informado,17.5%,Não informado,3.321 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2019,1T,2019\textos\2019_1T_RR.txt,3.842 milhões R$,506 milhões R$,Não informado,Não informado,13.2%,Não informado,3.400 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2019,1T,2019\textos\2019_1T_RR.txt,739 milhões R$,157 milhões R$,Não informado,Não informado,21.2%,Não informado,629 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2019,1T,2019\textos\2019_1T_RR.txt,1.840 milhões R$,238 milhões R$,Não informado,Não informado,12.9%,Não informado,1.649 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2019,1T,2019\textos\2019_1T_RR.txt,10.026 milhões R$,Não informado,453 milhões R$,Não informado,Não informado,4.5%,707 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,1.393 milhões R$,Não informado,Não informado,Não informado,13.797 milhões R$,2.912 milhões R$,10.530 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2019,1T,2019\textos\2019_1T_RR.txt,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,-388 milhões R$,Não informado,-300 milhões R$,-238 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2019,2T,2019\textos\2019_2T_RR.txt,10.154 milhões R$,1.572 milhões R$,Não informado,Não informado,15.5%,Não informado,354 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,361 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2019,2T,2019\textos\2019_2T_RR.txt,Não informado,1.452 milhões R$,373 milhões R$,Não informado,14.6%,Não informado,353 milhões R$,12.532 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,14.674 milhões R$,1.874 milhões R$,12.800 milhões R$,119 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2019,2T,2019\textos\2019_2T_RR.txt,4.017 milhões R$,716 milhões R$,Não informado,Não informado,17.8%,Não informado,424 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,361 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2019,2T,2019\textos\2019_2T_RR.txt,4.017 milhões R$,716 milhões R$,Não informado,Não informado,17.8%,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2019,2T,2019\textos\2019_2T_RR.txt,1.844 milhões R$,241 milhões R$,Não informado,Não informado,13.1%,Não informado,1.670 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,1.851 milhões R$,9.883 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2019,2T,2019\textos\2019_2T_RR.txt,10.154 milhões R$,Não informado,373 milhões R$,Não informado,Não informado,3.7%,120 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,565 milhões R$,Não informado,424 milhões R$,Não informado,Não informado,Não informado,16.841 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2018,Não informado,2019\textos\2019_2T_RR.txt,15.745 milhões R$,3.032 milhões R$,Não informado,Não informado,19.3%,Não informado,13.044 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2019,3T,2019\textos\2019_3T_RR.txt,9.931 milhões R$,1.457 milhões R$,Não informado,Não informado,14.7%,Não informado,372 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,1.888 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2019,3T,2019\textos\2019_3T_RR.txt,Não informado,1.457 milhões R$,408 milhões R$,Não informado,"15,5%",Não informado,368 milhões R$,12.062 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,15.494 milhões R$,2.262 milhões R$,13.232 milhões R$,68 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2019,3T,2019\textos\2019_3T_RR.txt,Não informado,2.038 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,1.888 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2019,3T,2019\textos\2019_3T_RR.txt,9.931 milhões R$,Não informado,289 milhões R$,Não informado,11.4%,2.9%,372 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,12.533 milhões R$,2.193 milhões R$,10.339 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2019,3T,2019\textos\2019_3T_RR.txt,3.627 milhões R$,380 milhões R$,Não informado,Não informado,10.5%,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2019,3T,2019\textos\2019_3T_RR.txt,1.621 milhões R$,207 milhões R$,Não informado,Não informado,12.8%,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2019,3T,2019\textos\2019_3T_RR.txt,3.611 milhões R$,751 milhões R$,"289,305 milhões R$",Não informado,20.8%,8.0%,2.929 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,"1.630,433 milhões R$",Não informado,"-560,727 milhões R$","-579,127 milhões R$",Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2019,4T,2019\textos\2019_4T_RR.txt,9.533 milhões R$,1.132 milhões R$,568 milhões R$,Não informado,11.9%,6.0%,353 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2019,4T,2019\textos\2019_4T_RR.txt,Não informado,Não informado,1.217 milhões R$,Não informado,Não informado,Não informado,Não informado,9.755 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,2.300 milhões R$,Não informado,Não informado,16.050 milhões R$,1.562 milhões R$,14.488 milhões R$,Não informado,600 mil toneladas/ano,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2019,4T,2019\textos\2019_4T_RR.txt,4.057 milhões R$,543 milhões R$,Não informado,Não informado,13.4%,Não informado,3.782 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2019,4T,2019\textos\2019_4T_RR.txt,3.375 milhões R$,257 milhões R$,Não informado,Não informado,7.6%,Não informado,3.201 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2019,4T,2019\textos\2019_4T_RR.txt,908 milhões R$,182 milhões R$,Não informado,Não informado,20.0%,Não informado,770 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2019,4T,2019\textos\2019_4T_RR.txt,1.397 milhões R$,113 milhões R$,Não informado,Não informado,8.1%,Não informado,1.373 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2019,4T,2019\textos\2019_4T_RR.txt,39.644 milhões R$,Não informado,1.217 milhões R$,Não informado,Não informado,3.1%,"Despesas com vendas: 476 milhões R$, Despesas gerais e administrativas: 954 milhões R$, Outras despesas operacionais: 188 milhões R$",Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,16.032 milhões R$,1.562 milhões R$,14.470 milhões R$,51 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2019,4T,2019\textos\2019_4T_RR.txt,Não informado,Não informado,1.217 milhões R$,Não informado,Não informado,Não informado,"Depreciação/Amortização: 540 milhões R$, Custo das vendas: Não informado",Não informado,Não informado,Não informado,Não informado,Não informado,1.643 milhões R$,Não informado,-1.899 milhões R$,-10 milhões R$,Não informado,Não informado,Não informado,484 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2019,4T,2019\textos\2019_4T_RR.txt,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,6.918.089 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2019,4T,2019\textos\2019_4T_RR.txt,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2019,4T,2019\textos\2019_4T_RR.txt,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2019,1T,2019\textos\2019_1T_AP.txt,Não informado,1.600 milhões R$,453 milhões R$,Não informado,Não informado,Não informado,"SG&A/Receita líquida: 3,7%",Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,166 milhões R$,Não informado,Não informado,"16.700 milhões R$ (mar/18), 18.100 milhões R$ (jun/18), 18.200 milhões R$ (set/18)",Não informado,Não informado,Política de dividendo permanece 30% do lucro líquido ajustado,Plano de CAPEX 3 anos: 7.100 milhões R$; aumento de capacidade em diversas unidades (valores e toneladas não detalhados por unidade),Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2019,2T,2019\textos\2019_2T_AP.txt,Não informado,1.600 milhões R$,373 milhões R$,Não informado,Não informado,Não informado,Redução do SG&A,14.900 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,361 milhões R$,Não informado,Não informado,18.100 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2019,3T,2019\textos\2019_3T_AP.txt,Não informado,1.500 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,1.900 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2019,3T,2019\textos\2019_3T_AP.txt,Não informado,1.888 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,361 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2019,4T,2019\textos\2019_4T_AP.txt,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Perfis estruturais e Barras América do Norte: 456 mil toneladas; SBQ Pindamonhangaba-SP: 532 mil toneladas; SBQ Monroe-Michigan: 266 mil toneladas; Capacidade adicional total: 1.254 mil toneladas,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2020,1T,2020\textos\2020_1T_RR.txt,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2020,1T,2020\textos\2020_1T_RR.txt,9.228 milhões R$,1.177 milhões R$,2.214 milhões R$,Não informado,12.8%,24.0%,370 milhões R$,14.051 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Negativo no 1T20,Não informado,Não informado,20.029 milhões R$,3.659 milhões R$,16.370 milhões R$,Não informado,63%,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2020,4T,2020\textos\2020_1T_RR.txt,10.026 milhões R$,1.136 milhões R$,Não informado,Não informado,11.3%,Não informado,361 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
