Ano,Trimestre,Arquivo,Receita,EBITDA,Lucro_liquido,Lucro_bruto,Margem_EBITDA,Margem_liquida,Despesas,Divida_liquida,Investimento_capital,Receita_perdida,Producao,Capacidade,Falha_maquina,Horas_paradas,Unidades_perdidas,Energia_consumida_kwh,Tipo_evento,Descricao_falha,Responsavel,Linha_producao,Custo_manutencao,Receita_impactada,Perda_eficiencia,Capacidade_utilizada
2018,2T,2018\\textos\\2018_2T_RR.txt,Não informado,1.756 milhões R$,713 milhões R$,Não informado,14.6%,Não informado,Despesas financeiras: 387 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2018,2T,2018\\textos\\2018_2T_RR.txt,Não informado,Não informado,698 milhões R$,Não informado,Não informado,Não informado,Apresentaram redução no 2T18 em relação ao 2T17 (valor não especificado),Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2018,2T,2018\\textos\\2018_2T_RR.txt,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Venda de três plantas no Chile com capacidade instalada de 520.000 toneladas anuais de aços.,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2018,2T,2018\\textos\\2018_2T_RR.txt,Não informado,1.756 milhões R$,Não informado,Não informado,Não informado,Não informado,CAPEX 2T18: 956 milhões R$; Imposto de Renda 2T18: 299 milhões R$; Custo da Dívida Líquido 2T18: 94 milhões R$; Consumo de Capital de Giro 2T18: 321 milhões R$,15.174 milhões R$,Não informado,Não informado,Minério de ferro comercializado para terceiros 2T18: 720 mil toneladas; Minério de ferro para consumo interno 2T18: 1.082 mil toneladas,Usinas hidrelétricas vendidas: 155 MW,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2018,2T,2018\\textos\\2018_2T_RR.txt,3.798 milhões R$,743 milhões R$,Não informado,Não informado,19.6%,Não informado,3.138 milhões R$,Não informado,Não informado,Não informado,1.381 mil toneladas,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2018,2T,2018\\textos\\2018_2T_RR.txt,5.411 milhões R$,497 milhões R$,Não informado,Não informado,9.2%,Não informado,4.907 milhões R$,Não informado,Não informado,Não informado,1.755 mil toneladas,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2018,2T,2018\\textos\\2018_2T_RR.txt,1.108 milhões R$,179 milhões R$,Não informado,Não informado,16.2%,Não informado,957 milhões R$,Não informado,Não informado,Não informado,216 mil toneladas,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2018,2T,2018\\textos\\2018_2T_RR.txt,2.133 milhões R$,386 milhões R$,Não informado,Não informado,18.1%,Não informado,1.807 milhões R$,Não informado,Não informado,Não informado,637 mil toneladas,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2018,2T,2018\\textos\\2018_2T_RR.txt,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,15.438 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2018,2T,2018\\textos\\2018_2T_RR.txt,12.035 milhões R$,Não informado,698 milhões R$,Não informado,Não informado,5.8%,Despesas com vendas: 158 milhões R$; Despesas gerais e adm: 273 milhões R$; Despesas financeiras: 387 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2018,3T,2018\\textos\\2018_3T_AP.txt,12.800 milhões R$,2.000 milhões R$,1.000 milhões R$,Não informado,15.6%,7.8%,"Menor nível histórico de despesas com vendas, gerais e administrativas","Dívida líquida / EBITDA: 2,2x no 3T18",Não informado,Não informado,Não informado,Elevado uso da capacidade instalada (América do Norte),Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2018,3T,2018\\textos\\2018_3T_AP.txt,Não informado,2.013 milhões R$,998 milhões R$,Não informado,15.7%,Não informado,"Despesas com vendas, gerais e administrativas: 3,3% da receita líquida","Dívida líquida/EBITDA ajustado: 2,2x em 30/09/2018",Não informado,Não informado,Redução em relação ao 3T17 devido à parada de manutenção do alto-forno 2 (Ouro Branco-MG) e desconsolidação do Chile,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2018,3T,2018\\textos\\2018_3T_RR.txt,12.836 milhões R$,2.013 milhões R$,791 milhões R$,Não informado,15.7%,6.2%,418 milhões R$,Não informado,Não informado,Não informado,3.969 mil toneladas,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2018,3T,2018\\textos\\2018_3T_RR.txt,3.798 milhões R$,891 milhões R$,Não informado,Não informado,23.5%,Não informado,3.602 milhões R$,13.607 milhões R$,319 milhões R$,Não informado,1.479 mil toneladas,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,ON Brasil,Não informado,Não informado,Não informado,Não informado
2018,3T,2018\\textos\\2018_3T_RR.txt,5.411 milhões R$,605 milhões R$,Não informado,Não informado,11.2%,Não informado,5.155 milhões R$,Não informado,Não informado,Não informado,1.699 mil toneladas,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,ON América do Norte,Não informado,Não informado,Não informado,Não informado
2018,3T,2018\\textos\\2018_3T_RR.txt,1.108 milhões R$,185 milhões R$,Não informado,Não informado,16.7%,Não informado,762 milhões R$,Não informado,Não informado,Não informado,142 mil toneladas,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,ON América do Sul,Não informado,Não informado,Não informado,Não informado
2018,3T,2018\\textos\\2018_3T_RR.txt,2.133 milhões R$,372 milhões R$,Não informado,Não informado,17.4%,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,ON Aços Especiais,Não informado,Não informado,Não informado,Não informado
2018,3T,2018\\textos\\2018_3T_RR.txt,12.836 milhões R$,372 milhões R$,791 milhões R$,Não informado,2.9%,6.2%,1.977 milhões R$,15.977 milhões R$,Não informado,Não informado,649 mil toneladas,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2018,3T,2018\\textos\\2018_3T_RR.txt,Não informado,Não informado,790.517 mil R$,Não informado,Não informado,Não informado,"{""Depreciacao_amortizacao"": ""477.827 mil R$"", ""Despesas_juros_sobre_dividas"": ""310.581 mil R$"", ""Pagamento_juros_empr_financ"": ""232.488 mil R$"", ""Pagamento_IR_CS"": ""59.757 mil R$"", ""Adicoes_imobilizado"": ""319.031 mil R$""}",Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2018,4T,2018\\textos\\2018_4T_AP.txt,46.159 milhões R$,6.657 milhões R$,2.500 milhões R$,Não informado,14.4%,5.4%,"{""SG&A/Receita líquida"": ""3,6%""}","9,7 bilhões R$",Não informado,Não informado,14.561 mil toneladas,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2018,4T,2018\\textos\\2018_4T_RR.txt,Não informado,1.404 milhões R$,Não informado,Não informado,12.9%,Não informado,"{""Dividendos deliberados 2018"": ""765 milhões R$""}","3,3 bilhões R$",Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2018,4T,2018\\textos\\2018_4T_RR.txt,10.900 milhões R$,1.404 milhões R$,389 milhões R$,Não informado,12.9%,3.6%,393 milhões R$,1.424 milhões R$,Não informado,Não informado,3.221 mil toneladas,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2017,4T,2018\\textos\\2018_4T_RR.txt,9.817 milhões R$,1.181 milhões R$,-1.384 milhões R$,Não informado,12.0%,14.1%,398 milhões R$,-348 milhões R$,Não informado,Não informado,3.949 mil toneladas,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2018,Não informado,2018\\textos\\2018_4T_RR.txt,46.159 milhões R$,6.657 milhões R$,2.326 milhões R$,Não informado,14.4%,5.0%,1.662 milhões R$,1.424 milhões R$,Não informado,Não informado,15.342 mil toneladas,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2017,Não informado,2018\\textos\\2018_4T_RR.txt,36.918 milhões R$,4.321 milhões R$,-339 milhões R$,Não informado,11.7%,0.9%,1.655 milhões R$,-348 milhões R$,Não informado,Não informado,16.120 mil toneladas,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2018,4T,2018\\textos\\2018_4T_RR.txt,46.159 milhões R$,6.657 milhões R$,Não informado,Não informado,14.4%,Não informado,Não informado,R$ 11.582 milhões,1.404 milhões R$,Não informado,14.561 mil toneladas,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2018,4T,2018\\textos\\2018_4T_RR.txt,3.946 milhões R$,647 milhões R$,Não informado,Não informado,16.4%,Não informado,3.374 milhões R$,Não informado,Não informado,Não informado,1.454 mil toneladas,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2018,4T,2018\\textos\\2018_4T_RR.txt,4.335 milhões R$,437 milhões R$,Não informado,Não informado,10.1%,Não informado,3.915 milhões R$,Não informado,Não informado,Não informado,1.179 mil toneladas,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2018,4T,2018\\textos\\2018_4T_RR.txt,10.900 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Custo vendas: 9.596 milhões R$; Despesas vendas: 138 milhões R$; Despesas administrativas: 262 milhões R$; Despesas financeiras: 425 milhões R$; Despesas recompra Bonds: 224 milhões R$,10.018 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2018,4T,2018\\textos\\2018_4T_RR.txt,819 milhões R$,128 milhões R$,Não informado,Não informado,15.6%,Não informado,Custo vendas: 701 milhões R$,Não informado,Não informado,Não informado,144 mil toneladas,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2018,4T,2018\\textos\\2018_4T_RR.txt,1.989 milhões R$,226 milhões R$,Não informado,Não informado,11.4%,Não informado,Custo vendas: 1.814 milhões R$,Não informado,Não informado,Não informado,444 mil toneladas,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2018,4T,2018\\textos\\2018_4T_RR.txt,Não informado,Não informado,"389,165 milhões R$",Não informado,Não informado,Não informado,"Despesas financeiras: 424,802 milhões R$; Despesas na recompra de Bonds: 223,925 milhões R$",Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2019,1T,2019\\textos\\2019_1T_AP.txt,Não informado,1.600 milhões R$,453 milhões R$,Não informado,Não informado,Não informado,"SG&A/Receita líquida: 3,7%","Dívida Líquida/EBITDA: 1,8x",Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2019,1T,2019\\textos\\2019_1T_AP.txt,Não informado,1.552 milhões R$,Não informado,Não informado,Não informado,Não informado,CAPEX: 305 milhões R$; Imposto de Renda: 24 milhões R$; Custo da dívida líquido: 155 milhões R$; Capital de giro: 1.234 milhões R$,15.000 milhões R$,Não informado,Não informado,Não informado,Pindamonhangaba-SP: 532 mil toneladas (início 2021); Ouro Branco-MG: 380 mil toneladas (início 2020); Monroe-Michigan: 266 mil toneladas (início 2021),Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2019,1T,2019\\textos\\2019_1T_RR.txt,10.026 milhões R$,1.552 milhões R$,Não informado,Não informado,15.5%,Não informado,"Despesas vendas, gerais e administrativas: 368 milhões R$ (3,7% da receita líquida)",Não informado,Não informado,Não informado,3.343 mil toneladas,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2019,1T,2019\\textos\\2019_1T_RR.txt,Não informado,Não informado,453 milhões R$,Não informado,Não informado,Não informado,Despesas financeiras: 345 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2019,1T,2019\\textos\\2019_1T_RR.txt,3.849 milhões R$,674 milhões R$,Não informado,Não informado,17.5%,Não informado,3.321 milhões R$,12.461 milhões R$,Não informado,Não informado,1.419 mil toneladas,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2019,1T,2019\\textos\\2019_1T_RR.txt,3.842 milhões R$,506 milhões R$,Não informado,Não informado,13.2%,Não informado,3.400 milhões R$,Não informado,Não informado,Não informado,1.267 mil toneladas,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2019,1T,2019\\textos\\2019_1T_RR.txt,739 milhões R$,157 milhões R$,Não informado,Não informado,21.2%,Não informado,629 milhões R$,Não informado,Não informado,Não informado,139 mil toneladas,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2019,1T,2019\\textos\\2019_1T_RR.txt,1.840 milhões R$,238 milhões R$,Não informado,Não informado,12.9%,Não informado,1.649 milhões R$,Não informado,Não informado,Não informado,518 mil toneladas,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2019,1T,2019\\textos\\2019_1T_RR.txt,10.026 milhões R$,Não informado,453 milhões R$,Não informado,Não informado,4.5%,Despesas com vendas: 123 milhões R$; Despesas gerais e administrativas: 239 milhões R$; Despesas financeiras: 345 milhões R$; Despesas recompra bonds: 186 milhões R$,13.442 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2018,1T,2019\\textos\\2019_1T_RR.txt,3.611 milhões R$,751 milhões R$,448 milhões R$,Não informado,20.8%,12.4%,2.929 milhões R$,Não informado,Não informado,Não informado,1.532 mil toneladas,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2019,1T,2019\\textos\\2019_1T_RR.txt,Não informado,Não informado,453 milhões R$,Não informado,Não informado,Não informado,"505 milhões R$ (Depreciação/Amortização), 250 milhões R$ (Juros sobre dívidas), 172 milhões R$ (Pagamento de juros empréstimos), 24 milhões R$ (Imposto de renda/CS)",Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2019,2T,2019\\textos\\2019_2T_AP.txt,Não informado,1.600 milhões R$,373 milhões R$,Não informado,Não informado,Não informado,"SG&A: 3,5% da receita líquida",14.700 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2019,2T,2019\\textos\\2019_2T_RR.txt,10.154 milhões R$,1.572 milhões R$,Não informado,Não informado,15.5%,Não informado,"DVGA: 354 milhões R$ (3,5% da receita)",Não informado,Não informado,Não informado,3.425 mil toneladas,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2019,2T,2019\\textos\\2019_2T_RR.txt,Não informado,1.572 milhões R$,Não informado,Não informado,15.5%,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2019,2T,2019\\textos\\2019_2T_RR.txt,4.017 milhões R$,716 milhões R$,373 milhões R$,Não informado,17.8%,9.3%,3.426 milhões R$,12.532 milhões R$,Não informado,Não informado,1.626 mil toneladas,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2019,2T,2019\\textos\\2019_2T_RR.txt,1.844 milhões R$,241 milhões R$,Não informado,Não informado,13.1%,Não informado,1.670 milhões R$,10.034.222 milhões R$,Não informado,Não informado,448 mil toneladas,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2019,2T,2019\\textos\\2019_2T_RR.txt,3.812 milhões R$,425 milhões R$,Não informado,Não informado,11.1%,Não informado,3.441 milhões R$,Não informado,Não informado,Não informado,1.195 mil toneladas,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2019,2T,2019\\textos\\2019_2T_RR.txt,840 milhões R$,168 milhões R$,Não informado,Não informado,20.0%,Não informado,719 milhões R$,Não informado,Não informado,Não informado,156 mil toneladas,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2019,2T,2019\\textos\\2019_2T_RR.txt,10.154 milhões R$,Não informado,373 milhões R$,Não informado,Não informado,3.7%,Despesas_vendas: 120 milhões R$; Despesas_provisao_credito: 2 milhões R$; Despesas_gerais_admin: 232 milhões R$; Outras_despesas_operacionais: 14 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2019,2T,2019\\textos\\2019_2T_RR.txt,Não informado,Não informado,373 milhões R$,Não informado,Não informado,Não informado,Depreciação_Amortização: 527 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2019,2T,2019\\textos\\2019_2T_RR.txt,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Despesas_civeis_trabalhistas_liquido: -3 milhões R$; Despesa_juros_sobre_dividas_financeiras: 257 milhões R$; Pagamento_juros_de_empréstimos_e_financiamentos: -352 milhões R$; Pagamento_imposto_de_renda_e_contribuicao_social: -159 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2018,Não informado,2019\\textos\\2019_2T_RR.txt,15.745 milhões R$,3.032 milhões R$,Não informado,Não informado,19.3%,Não informado,13.044 milhões R$,Não informado,Não informado,Não informado,5.846 mil toneladas,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
Não informado,Não informado,2019\\textos\\2019_2T_RR.txt,6.582 milhões R$,318 milhões R$,Não informado,Não informado,4.8%,Não informado,6.263 milhões R$,Não informado,Não informado,Não informado,1.931 mil toneladas,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2019,3T,2019\\textos\\2019_3T_AP.txt,Não informado,1.500 milhões R$,Não informado,Não informado,14.7%,Não informado,532 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2019,3T,2019\\textos\\2019_3T_RR.txt,9.931 milhões R$,1.457 milhões R$,289 milhões R$,Não informado,14.7%,2.9%,372 milhões R$ (Despesas vendas gerais administrativas),12.062 milhões,Não informado,Não informado,2.733 mil toneladas,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2019,3T,2019\\textos\\2019_3T_RR.txt,4.198 milhões R$,706 milhões R$,Não informado,Não informado,16.8%,Não informado,3.835 milhões R$,Não informado,Não informado,Não informado,1.079 mil toneladas,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2019,3T,2019\\textos\\2019_3T_RR.txt,3.627 milhões R$,380 milhões R$,Não informado,Não informado,10.5%,Não informado,3.310 milhões R$,Não informado,Não informado,Não informado,1.086 mil toneladas,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2019,3T,2019\\textos\\2019_3T_RR.txt,771 milhões R$,165 milhões R$,Não informado,Não informado,21.4%,Não informado,643 milhões R$,Não informado,Não informado,Não informado,153 mil toneladas,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2019,3T,2019\\textos\\2019_3T_RR.txt,1.621 milhões R$,207 milhões R$,Não informado,Não informado,12.8%,Não informado,1.476 milhões R$ (Custo de vendas),Não informado,Não informado,Não informado,415 mil toneladas,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2019,3T,2019\\textos\\2019_3T_RR.txt,Não informado,Não informado,Não informado,Não informado,16.1%,Não informado,Não informado,12.601.493 R$ (calculado: 15.601.105 - (2.291.416 + 1.140.196)),Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2019,3T,2019\\textos\\2019_3T_RR.txt,9.931 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,"115.783 R$ (Despesas com vendas), 248.810 R$ (Despesas gerais e administrativas), 80.803 R$ (Outras despesas operacionais), 367.644 R$ (Despesas financeiras)",Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2019,3T,2019\\textos\\2019_3T_RR.txt,Não informado,Não informado,289 milhões R$,Não informado,Não informado,Não informado,Depreciação e amortização: 502 milhões R$; Despesa juros sobre dívidas: 250 milhões R$; Pagamento juros empréstimos/financiamentos: 159 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2018,1T,2019\\textos\\2019_3T_RR.txt,3.611 milhões R$,751 milhões R$,Não informado,Não informado,20.8%,Não informado,-2.929 milhões R$,Não informado,Não informado,Não informado,1.532 mil toneladas,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2018,2T,2019\\textos\\2019_3T_RR.txt,3.798 milhões R$,743 milhões R$,Não informado,Não informado,19.6%,Não informado,-3.139 milhões R$,Não informado,Não informado,Não informado,1.381 mil toneladas,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2018,3T,2019\\textos\\2019_3T_RR.txt,4.390 milhões R$,891 milhões R$,Não informado,Não informado,20.3%,Não informado,-3.602 milhões R$,Não informado,Não informado,Não informado,1.479 mil toneladas,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2018,4T,2019\\textos\\2019_3T_RR.txt,3.946 milhões R$,647 milhões R$,Não informado,Não informado,16.4%,Não informado,-3.374 milhões R$,Não informado,Não informado,Não informado,1.454 mil toneladas,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2019,4T,2019\\textos\\2019_4T_RR.txt,9.533 milhões R$,1.132 milhões R$,Não informado,Não informado,11.9%,Não informado,353 milhões R$,"9,8 bilhões R$",Não informado,Não informado,2.952 mil toneladas,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2019,4T,2019\\textos\\2019_4T_RR.txt,Não informado,1.132 milhões R$,102 milhões R$,Não informado,"11,9%",Não informado,404 milhões R$ (Despesas financeiras 4T19),9.755 milhões R$ (31.12.2019),Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2019,4T,2019\\textos\\2019_4T_RR.txt,Não informado,Não informado,61 milhões,Não informado,Não informado,Não informado,(41) milhões (Despesas não recorrentes 4T19),9.755 milhões,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2019,4T,2019\\textos\\2019_4T_RR.txt,4.057 milhões R$ (ON Brasil) / 3.375 milhões R$ (ON América do Norte) / 908 milhões R$ (ON América do Sul) / 1.397 milhões R$ (ON Aços Especiais),543 milhões R$ (ON Brasil) / 257 milhões R$ (ON América do Norte) / 182 milhões R$ (ON América do Sul) / 113 milhões R$ (ON Aços Especiais),Não informado,Não informado,13.4%,Não informado,R$ 1.746 milhões (CAPEX 2019),Não informado,Não informado,Não informado,Não informado,600 mil toneladas/ano de laminação (SILAT),Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2019,4T,2019\\textos\\2019_4T_RR.txt,4.057 milhões R$,543 milhões R$,Não informado,Não informado,13.4%,Não informado,3.782 milhões R$,Não informado,Não informado,Não informado,1.439 mil toneladas,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2019,4T,2019\\textos\\2019_4T_RR.txt,3.375 milhões R$,257 milhões R$,Não informado,Não informado,7.6%,Não informado,3.201 milhões R$,Não informado,Não informado,Não informado,1.053 mil toneladas,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
