id,nome,disponibilidade,performance,qualidade,oee,taxa_producao,capacidade_producao,eficiencia_linha,produtividade_mao_obra,data_registro
3794,Calibrador Robos,0.89,0.77,0.97,0.75,94.82,103.45,0.81,0.76,2015-06-08 01:00:00
3795,Testador Circuito SMT,0.89,0.79,0.95,0.88,87.0,83.69,0.8,0.86,2015-06-08 02:00:00
3796,Scanner AOI,0.81,0.81,0.95,0.77,81.33,80.67,0.8,0.81,2015-06-08 03:00:00
3797,Equipamento Solda por Onda,0.9,0.87,0.94,0.8,98.82,109.79,0.84,0.83,2015-06-08 04:00:00
3798,Testador Circuito SMT,0.94,0.9,0.97,0.8,82.02,101.69,0.84,0.86,2015-06-08 05:00:00
3799,Equipamento Solda por Refusao,0.83,0.89,0.93,0.85,99.36,114.76,0.8,0.87,2015-06-08 06:00:00
3800,Equipamento Solda por Refusao,0.93,0.89,0.97,0.8,80.04,104.84,0.91,0.86,2015-06-08 07:00:00
3801,Equipamento Solda por Onda,0.81,0.89,0.96,0.79,93.52,86.92,0.85,0.87,2015-06-08 08:00:00
3802,Inspetor Visual Otico,0.84,0.79,0.93,0.78,72.02,99.89,0.94,0.74,2015-06-08 09:00:00
3803,Equipamento Solda por Onda,0.92,0.91,0.98,0.86,86.35,85.81,0.82,0.79,2015-06-08 10:00:00
3804,Equipamento Solda por Onda,0.85,0.76,0.95,0.88,87.32,87.7,0.82,0.84,2015-06-08 11:00:00
3805,Equipamento Solda por Onda,0.9,0.77,0.95,0.77,81.74,117.13,0.82,0.89,2015-06-08 12:00:00
3806,Testador Circuito SMT,0.83,0.88,0.94,0.78,85.76,119.33,0.89,0.73,2015-06-08 13:00:00
3807,Equipamento Solda por Onda,0.94,0.86,0.91,0.82,99.2,119.38,0.8,0.79,2015-06-08 14:00:00
3808,Calibrador Robos,0.93,0.88,0.93,0.88,78.99,91.49,0.91,0.73,2015-06-08 15:00:00
3809,Equipamento Solda por Refusao,0.87,0.86,0.92,0.86,79.64,89.39,0.89,0.73,2015-06-08 16:00:00
3810,Equipamento Solda por Refusao,0.85,0.76,0.95,0.82,77.12,104.61,0.81,0.82,2015-06-08 17:00:00
3811,Medidor Corrente,0.87,0.76,0.9,0.85,71.46,84.08,0.86,0.7,2015-06-08 18:00:00
3812,Calibrador Robos,0.82,0.89,0.91,0.82,83.78,119.54,0.86,0.76,2015-06-08 19:00:00
3813,Equipamento Solda por Refusao,0.87,0.88,0.95,0.84,95.47,92.24,0.87,0.77,2015-06-08 20:00:00
3814,Medidor Corrente,0.81,0.8,0.91,0.81,93.41,82.38,0.94,0.7,2015-06-08 21:00:00
3815,Medidor Corrente,0.88,0.87,0.94,0.75,82.03,106.42,0.86,0.73,2015-06-08 22:00:00
3816,Testador Circuito SMT,0.89,0.83,0.9,0.9,96.34,100.17,0.83,0.73,2015-06-08 23:00:00
3817,Medidor Corrente,0.92,0.76,0.95,0.77,91.97,81.1,0.92,0.81,2015-06-09 00:00:00
3818,Equipamento Solda por Onda,0.89,0.87,0.96,0.86,91.58,112.22,0.95,0.73,2015-06-09 01:00:00
3819,Medidor Corrente,0.87,0.8,0.95,0.79,85.58,110.88,0.92,0.71,2015-06-09 02:00:00
3820,Testador Circuito SMT,0.89,0.77,0.92,0.83,99.76,114.19,0.87,0.82,2015-06-09 03:00:00
3821,Scanner AOI,0.86,0.88,0.99,0.78,94.41,98.51,0.81,0.81,2015-06-09 04:00:00
3822,Calibrador Robos,0.88,0.91,0.91,0.85,89.39,108.73,0.84,0.72,2015-06-09 05:00:00
3823,Calibrador Robos,0.86,0.8,0.98,0.89,88.14,81.5,0.89,0.87,2015-06-09 06:00:00
3824,Inspetor Visual Otico,0.88,0.8,0.98,0.85,85.3,86.91,0.89,0.89,2015-06-09 07:00:00
3825,Scanner AOI,0.92,0.83,0.96,0.89,75.05,104.46,0.86,0.77,2015-06-09 08:00:00
3826,Equipamento Solda por Onda,0.91,0.79,0.96,0.88,96.78,106.12,0.91,0.74,2015-06-09 09:00:00
3827,Testador Circuito SMT,0.84,0.86,0.96,0.81,83.28,111.6,0.91,0.79,2015-06-09 10:00:00
3828,Testador Circuito SMT,0.94,0.91,0.92,0.81,80.84,109.4,0.85,0.85,2015-06-09 11:00:00
3829,Calibrador Robos,0.85,0.87,0.96,0.76,75.21,88.14,0.92,0.77,2015-06-09 12:00:00
3830,Medidor Corrente,0.95,0.84,0.92,0.83,94.43,106.02,0.89,0.82,2015-06-09 13:00:00
3831,Equipamento Solda por Onda,0.91,0.79,0.92,0.75,97.84,104.46,0.81,0.77,2015-06-09 14:00:00
3832,Testador Circuito SMT,0.87,0.91,0.93,0.76,83.31,84.82,0.94,0.76,2015-06-09 15:00:00
3833,Calibrador Robos,0.91,0.81,0.97,0.89,77.55,87.2,0.92,0.72,2015-06-09 16:00:00
3834,Calibrador Robos,0.87,0.89,0.94,0.82,86.11,85.31,0.94,0.86,2015-06-09 17:00:00
3835,Calibrador Robos,0.93,0.81,0.91,0.77,79.87,84.86,0.86,0.81,2015-06-09 18:00:00
3836,Testador Circuito SMT,0.88,0.75,0.91,0.81,91.23,88.61,0.81,0.85,2015-06-09 19:00:00
3837,Medidor Corrente,0.93,0.79,0.92,0.89,77.32,100.36,0.86,0.88,2015-06-09 20:00:00
3838,Equipamento Solda por Refusao,0.85,0.9,0.95,0.77,76.11,97.14,0.87,0.73,2015-06-09 21:00:00
3839,Testador Circuito SMT,0.83,0.85,0.97,0.81,74.59,91.91,0.85,0.78,2015-06-09 22:00:00
3840,Medidor Corrente,0.89,0.87,0.92,0.83,75.04,86.98,0.95,0.79,2015-06-09 23:00:00
3841,Equipamento Solda por Onda,0.86,0.79,0.95,0.88,79.24,95.04,0.88,0.76,2015-06-10 00:00:00
3842,Inspetor Visual Otico,0.82,0.81,0.93,0.88,97.22,104.56,0.83,0.88,2015-06-10 01:00:00
3843,Calibrador Robos,0.88,0.91,0.97,0.87,92.6,118.15,0.91,0.78,2015-06-10 02:00:00
3844,Testador Circuito SMT,0.89,0.83,0.98,0.83,90.64,81.21,0.82,0.7,2015-06-10 03:00:00
3845,Equipamento Solda por Refusao,0.93,0.77,0.98,0.84,77.34,98.67,0.88,0.8,2015-06-10 04:00:00
3846,Scanner AOI,0.89,0.86,0.96,0.87,86.25,111.13,0.94,0.86,2015-06-10 05:00:00
3847,Calibrador Robos,0.89,0.91,0.98,0.83,91.45,106.44,0.94,0.78,2015-06-10 06:00:00
3848,Scanner AOI,0.82,0.82,0.91,0.75,99.06,119.79,0.9,0.85,2015-06-10 07:00:00
3849,Medidor Corrente,0.81,0.86,0.93,0.75,71.8,106.72,0.8,0.82,2015-06-10 08:00:00
3850,Testador Circuito SMT,0.82,0.77,0.93,0.79,82.78,95.23,0.94,0.83,2015-06-10 09:00:00
3851,Calibrador Robos,0.85,0.82,0.91,0.86,85.47,101.55,0.93,0.81,2015-06-10 10:00:00
3852,Inspetor Visual Otico,0.85,0.84,0.97,0.78,92.23,104.9,0.84,0.85,2015-06-10 11:00:00
3853,Medidor Corrente,0.84,0.85,0.95,0.77,84.64,113.92,0.83,0.89,2015-06-10 12:00:00
3854,Testador Circuito SMT,0.87,0.81,0.98,0.84,96.26,81.94,0.9,0.75,2015-06-10 13:00:00
3855,Testador Circuito SMT,0.84,0.82,0.9,0.78,73.58,89.61,0.95,0.89,2015-06-10 14:00:00
3856,Equipamento Solda por Onda,0.83,0.82,0.93,0.87,88.29,106.09,0.89,0.74,2015-06-10 15:00:00
3857,Scanner AOI,0.87,0.76,0.96,0.85,88.99,83.39,0.86,0.8,2015-06-10 16:00:00
3858,Inspetor Visual Otico,0.85,0.85,0.9,0.81,91.58,110.44,0.88,0.72,2015-06-10 17:00:00
3859,Inspetor Visual Otico,0.88,0.84,0.95,0.78,75.88,116.67,0.94,0.77,2015-06-10 18:00:00
3860,Calibrador Robos,0.91,0.76,0.96,0.86,94.55,93.7,0.81,0.86,2015-06-10 19:00:00
3861,Equipamento Solda por Onda,0.87,0.81,0.97,0.82,74.32,110.09,0.95,0.89,2015-06-10 20:00:00
3862,Equipamento Solda por Onda,0.82,0.78,0.97,0.77,91.62,89.55,0.94,0.71,2015-06-10 21:00:00
3863,Testador Circuito SMT,0.9,0.85,0.92,0.86,72.45,111.23,0.9,0.87,2015-06-10 22:00:00
3864,Equipamento Solda por Refusao,0.95,0.76,0.94,0.89,91.47,100.54,0.92,0.82,2015-06-10 23:00:00
3865,Scanner AOI,0.93,0.91,0.91,0.82,93.97,110.13,0.82,0.76,2015-06-11 00:00:00
3866,Calibrador Robos,0.86,0.81,0.97,0.79,89.49,112.23,0.89,0.79,2015-06-11 01:00:00
3867,Equipamento Solda por Onda,0.91,0.86,0.96,0.76,99.95,93.47,0.89,0.72,2015-06-11 02:00:00
3868,Calibrador Robos,0.82,0.87,0.98,0.82,71.34,95.29,0.95,0.81,2015-06-11 03:00:00
3869,Medidor Corrente,0.92,0.77,0.94,0.88,78.76,117.44,0.84,0.76,2015-06-11 04:00:00
3870,Equipamento Solda por Refusao,0.81,0.84,0.94,0.75,79.93,96.42,0.8,0.76,2015-06-11 05:00:00
3871,Equipamento Solda por Refusao,0.93,0.81,0.93,0.78,70.64,96.04,0.88,0.7,2015-06-11 06:00:00
3872,Medidor Corrente,0.93,0.85,0.9,0.87,99.01,94.84,0.83,0.8,2015-06-11 07:00:00
3873,Inspetor Visual Otico,0.84,0.89,0.99,0.75,86.31,108.34,0.88,0.79,2015-06-11 08:00:00
3874,Equipamento Solda por Refusao,0.92,0.83,0.97,0.78,89.11,108.06,0.93,0.72,2015-06-11 09:00:00
3875,Testador Circuito SMT,0.9,0.83,0.98,0.9,78.81,111.18,0.86,0.82,2015-06-11 10:00:00
3876,Calibrador Robos,0.81,0.88,0.97,0.83,81.88,87.49,0.9,0.73,2015-06-11 11:00:00
3877,Inspetor Visual Otico,0.86,0.78,0.92,0.78,88.66,103.95,0.95,0.7,2015-06-11 12:00:00
3878,Testador Circuito SMT,0.82,0.77,0.98,0.77,97.5,81.31,0.81,0.76,2015-06-11 13:00:00
3879,Testador Circuito SMT,0.81,0.89,0.91,0.87,88.95,116.13,0.88,0.82,2015-06-11 14:00:00
3880,Equipamento Solda por Refusao,0.94,0.9,0.96,0.86,86.4,96.36,0.86,0.75,2015-06-11 15:00:00
3881,Equipamento Solda por Onda,0.9,0.83,0.9,0.83,91.41,90.4,0.87,0.71,2015-06-11 16:00:00
3882,Equipamento Solda por Refusao,0.89,0.81,0.95,0.8,79.05,103.43,0.82,0.72,2015-06-11 17:00:00
3883,Scanner AOI,0.93,0.76,0.94,0.84,96.45,102.34,0.83,0.77,2015-06-11 18:00:00
3884,Medidor Corrente,0.88,0.81,0.96,0.89,82.31,108.7,0.91,0.74,2015-06-11 19:00:00
3885,Medidor Corrente,0.81,0.78,0.96,0.89,94.94,80.36,0.93,0.89,2015-06-11 20:00:00
3886,Medidor Corrente,0.9,0.75,0.94,0.87,92.37,111.39,0.82,0.73,2015-06-11 21:00:00
3887,Inspetor Visual Otico,0.93,0.89,0.97,0.78,82.79,100.41,0.88,0.8,2015-06-11 22:00:00
3888,Inspetor Visual Otico,0.88,0.78,0.96,0.87,76.93,114.32,0.88,0.83,2015-06-11 23:00:00
3889,Medidor Corrente,0.89,0.85,0.95,0.85,97.54,103.56,0.8,0.78,2015-06-12 00:00:00
3890,Equipamento Solda por Refusao,0.85,0.91,0.9,0.86,90.94,110.34,0.84,0.76,2015-06-12 01:00:00
3891,Equipamento Solda por Refusao,0.9,0.8,0.9,0.76,97.74,115.34,0.83,0.83,2015-06-12 02:00:00
3892,Testador Circuito SMT,0.9,0.81,0.95,0.85,75.8,111.39,0.8,0.89,2015-06-12 03:00:00
3893,Calibrador Robos,0.91,0.89,0.94,0.85,84.15,116.9,0.92,0.79,2015-06-12 04:00:00
3894,Testador Circuito SMT,0.86,0.79,0.98,0.81,86.18,93.57,0.8,0.9,2015-06-12 05:00:00
3895,Medidor Corrente,0.9,0.91,0.97,0.79,85.58,94.64,0.92,0.86,2015-06-12 06:00:00
3896,Scanner AOI,0.86,0.84,0.93,0.84,84.27,84.24,0.87,0.9,2015-06-12 07:00:00
3897,Equipamento Solda por Onda,0.83,0.77,0.95,0.81,72.29,102.1,0.82,0.87,2015-06-12 08:00:00
3898,Equipamento Solda por Refusao,0.83,0.86,0.91,0.78,73.1,109.47,0.9,0.74,2015-06-12 09:00:00
3899,Medidor Corrente,0.87,0.81,0.99,0.79,71.73,102.66,0.93,0.72,2015-06-12 10:00:00
3900,Inspetor Visual Otico,0.86,0.82,0.91,0.82,99.39,113.67,0.9,0.85,2015-06-12 11:00:00
3901,Inspetor Visual Otico,0.87,0.9,0.95,0.88,84.33,87.0,0.83,0.88,2015-06-12 12:00:00
3902,Scanner AOI,0.94,0.85,0.93,0.87,86.89,106.02,0.9,0.7,2015-06-12 13:00:00
3903,Equipamento Solda por Onda,0.93,0.78,0.96,0.79,75.99,115.93,0.82,0.81,2015-06-12 14:00:00
3904,Scanner AOI,0.91,0.81,0.91,0.75,71.02,118.16,0.88,0.88,2015-06-12 15:00:00
3905,Equipamento Solda por Refusao,0.83,0.78,0.92,0.87,91.85,85.19,0.82,0.79,2015-06-12 16:00:00
3906,Calibrador Robos,0.83,0.79,0.97,0.8,89.64,87.71,0.91,0.78,2015-06-12 17:00:00
3907,Inspetor Visual Otico,0.8,0.89,0.98,0.87,75.27,107.05,0.81,0.79,2015-06-12 18:00:00
3908,Scanner AOI,0.89,0.79,0.91,0.81,84.86,93.12,0.92,0.73,2015-06-12 19:00:00
3909,Calibrador Robos,0.8,0.82,0.92,0.86,82.92,113.56,0.85,0.71,2015-06-12 20:00:00
3910,Calibrador Robos,0.84,0.79,0.94,0.84,75.44,105.25,0.94,0.85,2015-06-12 21:00:00
3911,Medidor Corrente,0.85,0.81,0.94,0.86,79.05,95.15,0.94,0.89,2015-06-12 22:00:00
3912,Medidor Corrente,0.88,0.86,0.92,0.79,84.08,104.84,0.84,0.87,2015-06-12 23:00:00
3913,Equipamento Solda por Refusao,0.86,0.85,0.92,0.89,83.79,87.18,0.8,0.79,2015-06-13 00:00:00
3914,Scanner AOI,0.93,0.85,0.97,0.83,70.93,114.82,0.89,0.75,2015-06-13 01:00:00
3915,Scanner AOI,0.93,0.91,0.98,0.8,79.74,83.39,0.89,0.8,2015-06-13 02:00:00
3916,Inspetor Visual Otico,0.9,0.86,0.91,0.79,72.45,118.85,0.85,0.79,2015-06-13 03:00:00
3917,Calibrador Robos,0.84,0.77,0.99,0.8,81.24,95.91,0.8,0.75,2015-06-13 04:00:00
3918,Equipamento Solda por Onda,0.85,0.86,0.98,0.88,93.95,104.26,0.86,0.79,2015-06-13 05:00:00
3919,Equipamento Solda por Refusao,0.86,0.84,0.98,0.83,87.41,117.02,0.81,0.78,2015-06-13 06:00:00
3920,Scanner AOI,0.86,0.81,0.94,0.87,89.72,119.7,0.94,0.74,2015-06-13 07:00:00
3921,Scanner AOI,0.82,0.89,0.94,0.77,84.06,95.49,0.83,0.85,2015-06-13 08:00:00
3922,Medidor Corrente,0.83,0.89,0.97,0.89,88.76,109.66,0.82,0.86,2015-06-13 09:00:00
3923,Equipamento Solda por Onda,0.83,0.78,0.96,0.87,86.65,99.81,0.94,0.87,2015-06-13 10:00:00
3924,Calibrador Robos,0.9,0.86,0.95,0.8,97.96,99.76,0.86,0.81,2015-06-13 11:00:00
3925,Inspetor Visual Otico,0.84,0.8,0.97,0.81,95.92,87.98,0.81,0.7,2015-06-13 12:00:00
3926,Equipamento Solda por Refusao,0.84,0.77,0.94,0.76,71.43,96.0,0.87,0.78,2015-06-13 13:00:00
3927,Equipamento Solda por Onda,0.87,0.79,0.96,0.76,83.71,92.6,0.94,0.88,2015-06-13 14:00:00
3928,Testador Circuito SMT,0.9,0.81,0.96,0.82,92.27,106.88,0.93,0.7,2015-06-13 15:00:00
3929,Equipamento Solda por Onda,0.93,0.88,0.99,0.82,99.98,107.25,0.92,0.83,2015-06-13 16:00:00
3930,Calibrador Robos,0.86,0.83,0.94,0.88,81.03,114.47,0.91,0.84,2015-06-13 17:00:00
3931,Scanner AOI,0.92,0.78,0.98,0.76,84.73,91.88,0.88,0.74,2015-06-13 18:00:00
3932,Inspetor Visual Otico,0.89,0.91,0.98,0.86,89.68,80.13,0.81,0.73,2015-06-13 19:00:00
3933,Scanner AOI,0.9,0.82,0.91,0.8,99.56,107.76,0.89,0.84,2015-06-13 20:00:00
3934,Equipamento Solda por Refusao,0.89,0.76,0.97,0.9,82.6,110.41,0.83,0.87,2015-06-13 21:00:00
3935,Calibrador Robos,0.84,0.85,0.97,0.77,80.45,111.03,0.9,0.8,2015-06-13 22:00:00
3936,Calibrador Robos,0.82,0.76,0.92,0.9,89.51,114.45,0.82,0.8,2015-06-13 23:00:00
3937,Scanner AOI,0.92,0.84,0.92,0.88,84.38,96.33,0.83,0.78,2015-06-14 00:00:00
3938,Inspetor Visual Otico,0.85,0.8,0.93,0.8,97.02,116.82,0.86,0.82,2015-06-14 01:00:00
3939,Testador Circuito SMT,0.85,0.78,0.95,0.88,98.0,97.2,0.82,0.74,2015-06-14 02:00:00
3940,Calibrador Robos,0.9,0.77,0.91,0.8,71.19,84.98,0.87,0.76,2015-06-14 03:00:00
3941,Equipamento Solda por Refusao,0.91,0.78,0.92,0.78,96.74,85.58,0.87,0.82,2015-06-14 04:00:00
3942,Scanner AOI,0.91,0.82,0.99,0.79,74.38,81.26,0.85,0.71,2015-06-14 05:00:00
3943,Inspetor Visual Otico,0.93,0.85,0.9,0.79,71.43,80.09,0.94,0.78,2015-06-14 06:00:00
3944,Equipamento Solda por Refusao,0.9,0.9,0.92,0.85,72.78,105.28,0.84,0.78,2015-06-14 07:00:00
3945,Equipamento Solda por Onda,0.8,0.87,0.97,0.83,88.26,105.06,0.81,0.87,2015-06-14 08:00:00
3946,Medidor Corrente,0.93,0.84,0.98,0.88,70.03,109.94,0.94,0.75,2015-06-14 09:00:00
3947,Medidor Corrente,0.93,0.84,0.96,0.78,97.92,99.05,0.87,0.74,2015-06-14 10:00:00
3948,Testador Circuito SMT,0.82,0.87,0.96,0.9,70.41,80.71,0.92,0.83,2015-06-14 11:00:00
3949,Inspetor Visual Otico,0.84,0.92,0.95,0.77,72.6,108.16,0.88,0.73,2015-06-14 12:00:00
3950,Equipamento Solda por Refusao,0.9,0.92,0.92,0.83,80.42,86.67,0.86,0.79,2015-06-14 13:00:00
3951,Inspetor Visual Otico,0.86,0.92,0.92,0.88,75.34,88.94,0.88,0.86,2015-06-14 14:00:00
3952,Medidor Corrente,0.94,0.82,0.92,0.88,94.69,115.28,0.94,0.76,2015-06-14 15:00:00
3953,Scanner AOI,0.87,0.78,0.91,0.83,86.23,119.0,0.87,0.8,2015-06-14 16:00:00
3954,Equipamento Solda por Refusao,0.88,0.84,0.92,0.88,86.75,83.46,0.9,0.89,2015-06-14 17:00:00
3955,Calibrador Robos,0.91,0.82,0.99,0.85,91.99,101.43,0.93,0.84,2015-06-14 18:00:00
3956,Testador Circuito SMT,0.88,0.81,0.92,0.9,95.2,82.08,0.92,0.76,2015-06-14 19:00:00
3957,Equipamento Solda por Onda,0.94,0.83,0.96,0.89,88.27,97.31,0.82,0.81,2015-06-14 20:00:00
3958,Equipamento Solda por Onda,0.84,0.87,0.94,0.76,70.89,106.73,0.91,0.89,2015-06-14 21:00:00
3959,Testador Circuito SMT,0.87,0.76,0.96,0.87,83.99,93.41,0.93,0.76,2015-06-14 22:00:00
3960,Inspetor Visual Otico,0.82,0.86,0.98,0.82,72.25,82.4,0.84,0.84,2015-06-14 23:00:00
3961,Inspetor Visual Otico,0.85,0.82,0.92,0.8,75.6,92.2,0.93,0.74,2015-06-15 00:00:00
3962,Testador Circuito SMT,0.95,0.83,0.99,0.84,71.56,107.57,0.83,0.71,2015-06-15 01:00:00
3963,Testador Circuito SMT,0.89,0.87,0.91,0.84,89.57,90.69,0.83,0.8,2015-06-15 02:00:00
3964,Medidor Corrente,0.89,0.9,0.9,0.88,94.31,111.37,0.94,0.76,2015-06-15 03:00:00
3965,Calibrador Robos,0.88,0.86,0.99,0.89,76.02,87.34,0.82,0.84,2015-06-15 04:00:00
3966,Calibrador Robos,0.94,0.8,0.94,0.82,76.57,92.42,0.82,0.83,2015-06-15 05:00:00
3967,Medidor Corrente,0.84,0.83,0.94,0.84,90.48,118.47,0.88,0.86,2015-06-15 06:00:00
3968,Testador Circuito SMT,0.81,0.8,0.96,0.86,71.68,85.51,0.84,0.81,2015-06-15 07:00:00
3969,Equipamento Solda por Onda,0.95,0.84,0.98,0.76,89.73,95.35,0.89,0.75,2015-06-15 08:00:00
3970,Inspetor Visual Otico,0.81,0.81,0.92,0.79,83.51,112.45,0.9,0.82,2015-06-15 09:00:00
3971,Medidor Corrente,0.91,0.76,0.97,0.89,97.24,83.99,0.84,0.76,2015-06-15 10:00:00
3972,Equipamento Solda por Refusao,0.88,0.91,0.92,0.85,98.68,93.85,0.93,0.72,2015-06-15 11:00:00
3973,Medidor Corrente,0.95,0.88,0.91,0.8,96.54,87.0,0.93,0.72,2015-06-15 12:00:00
3974,Calibrador Robos,0.84,0.8,0.95,0.86,87.71,111.73,0.82,0.86,2015-06-15 13:00:00
3975,Equipamento Solda por Onda,0.94,0.81,0.97,0.84,96.53,96.78,0.88,0.75,2015-06-15 14:00:00
3976,Equipamento Solda por Onda,0.9,0.9,0.9,0.88,95.59,99.92,0.88,0.76,2015-06-15 15:00:00
3977,Medidor Corrente,0.93,0.88,0.92,0.78,87.34,93.16,0.88,0.74,2015-06-15 16:00:00
3978,Testador Circuito SMT,0.86,0.88,0.94,0.8,88.08,109.22,0.95,0.9,2015-06-15 17:00:00
3979,Scanner AOI,0.93,0.79,0.96,0.85,93.72,85.21,0.86,0.74,2015-06-15 18:00:00
3980,Testador Circuito SMT,0.89,0.85,0.99,0.89,92.27,84.32,0.83,0.78,2015-06-15 19:00:00
3981,Scanner AOI,0.94,0.81,0.95,0.75,84.09,83.04,0.88,0.89,2015-06-15 20:00:00
3982,Scanner AOI,0.81,0.88,0.97,0.84,90.48,113.84,0.85,0.77,2015-06-15 21:00:00
3983,Medidor Corrente,0.81,0.77,0.97,0.79,99.74,80.62,0.87,0.74,2015-06-15 22:00:00
3984,Equipamento Solda por Onda,0.85,0.81,0.97,0.86,71.86,108.01,0.92,0.87,2015-06-15 23:00:00
3985,Testador Circuito SMT,0.88,0.89,0.93,0.83,83.84,108.88,0.87,0.86,2015-06-16 00:00:00
3986,Equipamento Solda por Onda,0.83,0.86,0.92,0.79,90.66,104.96,0.91,0.88,2015-06-16 01:00:00
3987,Calibrador Robos,0.84,0.83,0.97,0.9,97.61,105.4,0.88,0.74,2015-06-16 02:00:00
3988,Medidor Corrente,0.93,0.78,0.99,0.81,83.46,109.96,0.88,0.87,2015-06-16 03:00:00
3989,Testador Circuito SMT,0.94,0.84,0.97,0.89,74.27,91.87,0.88,0.7,2015-06-16 04:00:00
3990,Calibrador Robos,0.83,0.77,0.98,0.89,77.41,117.11,0.91,0.87,2015-06-16 05:00:00
3991,Equipamento Solda por Refusao,0.82,0.8,0.99,0.89,75.36,118.49,0.86,0.86,2015-06-16 06:00:00
3992,Inspetor Visual Otico,0.93,0.89,0.95,0.75,85.01,103.71,0.88,0.88,2015-06-16 07:00:00
3993,Testador Circuito SMT,0.88,0.77,0.94,0.82,94.79,98.48,0.83,0.86,2015-06-16 08:00:00
3994,Testador Circuito SMT,0.88,0.85,0.96,0.76,73.2,118.59,0.81,0.78,2015-06-16 09:00:00
3995,Testador Circuito SMT,0.95,0.78,0.91,0.78,78.57,116.55,0.94,0.87,2015-06-16 10:00:00
3996,Equipamento Solda por Onda,0.87,0.75,0.93,0.82,86.13,93.25,0.91,0.81,2015-06-16 11:00:00
3997,Equipamento Solda por Refusao,0.88,0.82,0.96,0.79,91.23,113.49,0.82,0.84,2015-06-16 12:00:00
3998,Scanner AOI,0.89,0.77,0.93,0.81,77.32,91.28,0.88,0.73,2015-06-16 13:00:00
3999,Scanner AOI,0.84,0.76,0.96,0.76,95.39,81.14,0.94,0.81,2015-06-16 14:00:00
4000,Medidor Corrente,0.87,0.8,0.97,0.79,96.92,109.74,0.86,0.76,2015-06-16 15:00:00
4001,Equipamento Solda por Onda,0.9,0.9,0.97,0.85,79.4,92.34,0.86,0.89,2015-06-16 16:00:00
4002,Inspetor Visual Otico,0.82,0.75,0.93,0.84,90.52,103.74,0.9,0.9,2015-06-16 17:00:00
4003,Medidor Corrente,0.92,0.86,0.93,0.87,75.11,83.04,0.82,0.8,2015-06-16 18:00:00
4004,Testador Circuito SMT,0.82,0.8,0.94,0.75,82.18,108.04,0.9,0.85,2015-06-16 19:00:00
4005,Equipamento Solda por Refusao,0.91,0.9,0.97,0.81,92.93,107.62,0.83,0.83,2015-06-16 20:00:00
4006,Inspetor Visual Otico,0.83,0.81,0.91,0.78,87.55,80.71,0.9,0.88,2015-06-16 21:00:00
4007,Testador Circuito SMT,0.89,0.91,0.96,0.9,79.07,88.72,0.89,0.8,2015-06-16 22:00:00
4008,Equipamento Solda por Refusao,0.81,0.82,0.91,0.82,83.43,98.19,0.91,0.84,2015-06-16 23:00:00
4009,Equipamento Solda por Refusao,0.9,0.8,0.98,0.79,96.44,98.22,0.91,0.83,2015-06-17 00:00:00
4010,Inspetor Visual Otico,0.9,0.76,0.93,0.81,85.96,92.45,0.8,0.9,2015-06-17 01:00:00
4011,Equipamento Solda por Onda,0.95,0.79,0.93,0.84,97.56,82.68,0.86,0.72,2015-06-17 02:00:00
4012,Testador Circuito SMT,0.88,0.85,0.97,0.82,70.06,94.62,0.84,0.74,2015-06-17 03:00:00
4013,Inspetor Visual Otico,0.92,0.85,0.91,0.82,81.75,81.07,0.83,0.8,2015-06-17 04:00:00
4014,Testador Circuito SMT,0.94,0.78,0.91,0.82,75.93,83.08,0.93,0.84,2015-06-17 05:00:00
4015,Medidor Corrente,0.87,0.85,0.93,0.78,98.19,117.21,0.8,0.77,2015-06-17 06:00:00
4016,Scanner AOI,0.91,0.76,0.93,0.78,83.06,96.09,0.92,0.88,2015-06-17 07:00:00
4017,Equipamento Solda por Refusao,0.8,0.88,0.91,0.88,78.73,87.69,0.85,0.79,2015-06-17 08:00:00
4018,Inspetor Visual Otico,0.92,0.88,0.92,0.79,86.85,115.47,0.87,0.75,2015-06-17 09:00:00
4019,Calibrador Robos,0.87,0.83,0.91,0.89,89.03,107.25,0.85,0.81,2015-06-17 10:00:00
4020,Testador Circuito SMT,0.83,0.87,0.95,0.77,77.71,98.04,0.9,0.83,2015-06-17 11:00:00
4021,Calibrador Robos,0.87,0.86,0.92,0.86,75.81,116.5,0.94,0.9,2015-06-17 12:00:00
4022,Equipamento Solda por Refusao,0.81,0.87,0.9,0.87,80.23,99.19,0.87,0.75,2015-06-17 13:00:00
4023,Calibrador Robos,0.88,0.82,0.98,0.85,97.77,96.41,0.93,0.85,2015-06-17 14:00:00
4024,Equipamento Solda por Onda,0.82,0.86,0.95,0.87,94.77,110.09,0.91,0.86,2015-06-17 15:00:00
4025,Calibrador Robos,0.91,0.83,0.97,0.77,85.11,91.11,0.93,0.79,2015-06-17 16:00:00
4026,Scanner AOI,0.85,0.87,0.97,0.87,76.24,112.89,0.9,0.75,2015-06-17 17:00:00
4027,Equipamento Solda por Refusao,0.84,0.91,0.94,0.88,88.87,92.71,0.86,0.85,2015-06-17 18:00:00
4028,Equipamento Solda por Onda,0.88,0.91,0.93,0.85,80.05,99.61,0.85,0.77,2015-06-17 19:00:00
4029,Testador Circuito SMT,0.81,0.88,0.99,0.86,85.55,110.98,0.92,0.8,2015-06-17 20:00:00
